u_id,Battery_Cycle_No,charging_length,discharging_length,u_type
3886,271,1788.0,6989.0,1
3893,272,1791.0,6986.0,1
3895,368,4870.0,3907.0,2
3897,274,7593.0,1184.0,3
3899,367,4888.0,3889.0,2
3902,368,4906.0,3871.0,2
3905,367,4867.0,3910.0,2
3909,270,1765.0,7012.0,1
3910,313,6780.0,1997.0,3
3912,212,4545.0,4232.0,1
3916,270,1769.0,7008.0,1
3918,270,1756.0,7021.0,1
3922,267,1705.0,7072.0,1
3923,366,4864.0,3913.0,2
3928,366,4833.0,3944.0,2
3932,268,1742.0,7035.0,1
3934,396,6660.0,2117.0,3
3940,272,1771.0,7006.0,1
3942,366,4866.0,3911.0,2
3944,272,1814.0,6963.0,1
3945,368,4887.0,3890.0,2
3953,369,4936.0,3841.0,2
3956,396,6686.0,2091.0,3
3957,267,1710.0,7067.0,1
3959,269,1761.0,7016.0,1
3963,269,1741.0,7036.0,1
3966,270,1770.0,7007.0,1
3967,274,1830.0,6947.0,1
3969,219,3794.0,4983.0,1
3970,266,1715.0,7062.0,1
3971,396,6657.0,2120.0,3
3972,395,6638.0,2139.0,3
3976,270,1769.0,7008.0,1
3980,234,2041.0,6736.0,1
3987,369,4957.0,3820.0,2
3992,269,1762.0,7015.0,1
3995,266,1729.0,7048.0,1
3996,368,4907.0,3870.0,2
3997,289,5088.0,3689.0,2
3998,266,1737.0,7040.0,1
4001,269,1751.0,7026.0,1
4004,267,1742.0,7035.0,1
4011,394,6639.0,2138.0,3
4012,358,4962.0,3815.0,2
4014,268,7991.0,786.0,3
4015,268,1740.0,7037.0,1
4016,395,6639.0,2138.0,3
4018,365,4858.0,3919.0,2
4019,271,1790.0,6987.0,1
4021,368,4929.0,3848.0,2
4022,269,1744.0,7033.0,1
4023,264,1676.0,7101.0,1
4026,265,1704.0,7073.0,1
4030,394,6643.0,2134.0,3
4032,366,4865.0,3912.0,2
4035,367,4882.0,3895.0,2
4039,272,1776.0,7001.0,1
4040,268,1725.0,7052.0,1
4041,395,6650.0,2127.0,3
4042,269,1756.0,7021.0,1
4044,396,6687.0,2090.0,3
4048,395,6648.0,2129.0,3
4055,395,6649.0,2128.0,3
4057,368,4907.0,3870.0,2
4062,270,1764.0,7013.0,1
4064,266,1706.0,7071.0,1
4067,272,1787.0,6990.0,1
4068,264,1670.0,7107.0,1
4080,396,6665.0,2112.0,3
4083,372,6689.0,2088.0,3
4084,394,6656.0,2121.0,3
4088,265,1699.0,7078.0,1
4090,269,1733.0,7044.0,1
4091,369,4924.0,3853.0,2
4092,332,4984.0,3793.0,2
4093,365,4837.0,3940.0,2
4100,396,6662.0,2115.0,3
4101,365,4855.0,3922.0,2
4103,368,4892.0,3885.0,2
4105,366,4870.0,3907.0,2
4106,395,6670.0,2107.0,3
4107,243,2005.0,6772.0,1
4109,267,1714.0,7063.0,1
4112,364,4798.0,3979.0,2
4115,395,6645.0,2132.0,3
4118,368,4850.0,3927.0,2
4119,269,1773.0,7004.0,1
4126,271,1784.0,6993.0,1
4130,396,6671.0,2106.0,3
4133,367,4871.0,3906.0,2
4135,368,4907.0,3870.0,2
4137,396,6648.0,2129.0,3
4141,284,6923.0,1854.0,3
4143,395,6650.0,2127.0,3
4144,267,1748.0,7029.0,1
4146,268,1726.0,7051.0,1
4149,267,1722.0,7055.0,1
4150,278,5209.0,3568.0,2
4152,368,4883.0,3894.0,2
4156,267,1730.0,7047.0,1
4157,272,1808.0,6969.0,1
4160,369,4891.0,3886.0,2
4162,369,4860.0,3917.0,2
4167,395,6661.0,2116.0,3
4168,367,4897.0,3880.0,2
4169,367,4923.0,3854.0,2
4170,394,6641.0,2136.0,3
4174,395,6647.0,2130.0,3
4176,273,1783.0,6994.0,1
4179,364,6705.0,2072.0,3
4183,341,4990.0,3787.0,2
4184,270,1759.0,7018.0,1
4188,396,6650.0,2127.0,3
4193,368,4871.0,3906.0,2
4196,369,4890.0,3887.0,2
4199,267,1712.0,7065.0,1
4200,269,1757.0,7020.0,1
4205,272,1812.0,6965.0,1
4206,395,6651.0,2126.0,3
4207,396,6681.0,2096.0,3
4209,369,4909.0,3868.0,2
4210,284,5181.0,3596.0,2
4213,368,4896.0,3881.0,2
4214,366,4839.0,3938.0,2
4215,265,7591.0,1186.0,2
4216,367,4866.0,3911.0,2
4218,267,1708.0,7069.0,1
4222,395,6650.0,2127.0,3
4226,220,2492.0,6285.0,1
4228,367,4871.0,3906.0,2
4231,260,7155.0,1622.0,2
4233,272,1832.0,6945.0,1
4244,395,6659.0,2118.0,3
4245,267,7683.0,1094.0,3
4247,368,4937.0,3840.0,2
4250,274,1840.0,6937.0,1
4255,268,1746.0,7031.0,1
4256,396,6673.0,2104.0,3
4257,395,6655.0,2122.0,3
4258,270,1744.0,7033.0,1
4261,275,5219.0,3558.0,2
4262,396,6641.0,2136.0,3
4264,395,6669.0,2108.0,3
4266,395,6637.0,2140.0,3
4268,367,4896.0,3881.0,2
4270,367,4926.0,3851.0,2
4272,367,4892.0,3885.0,2
4273,395,6667.0,2110.0,3
4274,269,8206.0,571.0,3
4277,396,6651.0,2126.0,3
4280,395,6643.0,2134.0,3
4283,395,6648.0,2129.0,3
4286,396,6677.0,2100.0,3
4287,396,6671.0,2106.0,3
4288,395,6647.0,2130.0,3
4294,368,4918.0,3859.0,2
4299,268,1725.0,7052.0,1
4301,272,7159.0,1618.0,3
4303,221,2428.0,6349.0,1
4311,273,1783.0,6994.0,1
4312,396,6674.0,2103.0,3
4315,272,1774.0,7003.0,1
4316,266,1690.0,7087.0,1
4319,396,6674.0,2103.0,3
4326,271,1771.0,7006.0,1
4333,274,1790.0,6987.0,1
4335,265,1691.0,7086.0,1
4336,395,6658.0,2119.0,3
4339,270,8254.0,523.0,3
4341,261,1822.0,6955.0,1
4345,366,4838.0,3939.0,2
4347,269,1754.0,7023.0,1
4350,368,4892.0,3885.0,2
4353,269,1734.0,7043.0,1
4354,224,4433.0,4344.0,1
4356,368,4850.0,3927.0,2
4358,366,4833.0,3944.0,2
4360,200,8016.0,761.0,3
4361,369,4909.0,3868.0,2
4365,367,4868.0,3909.0,2
4367,395,6667.0,2110.0,3
4370,396,6684.0,2093.0,3
4371,366,4868.0,3909.0,2
4376,395,6652.0,2125.0,3
4377,311,6832.0,1945.0,3
4380,273,1800.0,6977.0,1
4381,215,3260.0,5517.0,1
4383,236,2005.0,6772.0,1
4386,368,4913.0,3864.0,2
4387,368,4865.0,3912.0,2
4389,270,1741.0,7036.0,1
4391,368,4869.0,3908.0,2
4399,366,4829.0,3948.0,2
4400,270,1777.0,7000.0,1
4401,263,1661.0,7116.0,1
4406,396,6675.0,2102.0,3
4407,270,1762.0,7015.0,1
4410,367,4883.0,3894.0,2
4411,396,6659.0,2118.0,3
4412,368,4932.0,3845.0,2
4415,241,7705.0,1072.0,2
4419,266,1709.0,7068.0,1
4420,269,1753.0,7024.0,1
4423,241,5042.0,3735.0,1
4425,365,4832.0,3945.0,2
4434,365,4859.0,3918.0,2
4435,267,7810.0,967.0,3
4437,366,4797.0,3980.0,2
4439,366,4858.0,3919.0,2
4440,269,1765.0,7012.0,1
4441,365,4852.0,3925.0,2
4446,368,4877.0,3900.0,2
4448,269,1766.0,7011.0,1
4450,396,6662.0,2115.0,3
4455,366,4849.0,3928.0,2
4458,278,1875.0,6902.0,1
4463,267,7382.0,1395.0,3
4465,267,1726.0,7051.0,1
4470,255,5797.0,2980.0,2
4471,271,1776.0,7001.0,1
4473,355,4904.0,3873.0,2
4479,367,4838.0,3939.0,2
4480,273,1814.0,6963.0,1
4484,394,6648.0,2129.0,3
4485,394,6649.0,2128.0,3
4486,268,1756.0,7021.0,1
4487,394,6625.0,2152.0,3
4494,267,1710.0,7067.0,1
4495,241,2180.0,6597.0,1
4496,395,6682.0,2095.0,3
