u_id,Battery_Cycle_No,charging_length,discharging_length,u_type
4127,110,133.0,8644.0,1
4132,315,823.0,7954.0,2
4138,413,4624.0,4153.0,3
4139,557,4086.0,4691.0,3
4145,556,4061.0,4716.0,3
4147,108,135.0,8642.0,1
4148,109,132.0,8645.0,1
4151,110,136.0,8641.0,1
4154,318,825.0,7952.0,2
4159,559,4148.0,4629.0,3
4164,325,866.0,7911.0,2
4166,554,4038.0,4739.0,3
4171,330,879.0,7898.0,2
4172,109,133.0,8644.0,1
4173,398,5334.0,3443.0,3
4175,557,4074.0,4703.0,3
4178,107,136.0,8641.0,1
4180,554,4077.0,4700.0,3
4190,323,852.0,7925.0,2
4191,321,843.0,7934.0,2
4194,108,133.0,8644.0,1
4195,554,4058.0,4719.0,3
4197,556,4115.0,4662.0,3
4201,555,4070.0,4707.0,3
4203,108,136.0,8641.0,1
4208,323,848.0,7929.0,2
4211,555,4064.0,4713.0,3
4217,321,846.0,7931.0,2
4219,301,1867.0,6910.0,2
4221,558,4108.0,4669.0,3
4223,319,838.0,7939.0,2
4224,555,4042.0,4735.0,3
4225,399,5506.0,3271.0,3
4227,109,131.0,8646.0,1
4234,109,136.0,8641.0,1
4235,109,132.0,8645.0,1
4237,555,4069.0,4708.0,3
4239,107,139.0,8638.0,1
4241,325,858.0,7919.0,2
4252,108,135.0,8642.0,1
4260,110,136.0,8641.0,1
4263,326,857.0,7920.0,2
4267,556,4078.0,4699.0,3
4271,324,846.0,7931.0,2
4275,556,4083.0,4694.0,3
4279,328,872.0,7905.0,2
4284,323,844.0,7933.0,2
4285,401,5650.0,3127.0,3
4289,558,4129.0,4648.0,3
4292,324,858.0,7919.0,2
4295,319,839.0,7938.0,2
4296,332,885.0,7892.0,2
4297,109,133.0,8644.0,1
4300,321,837.0,7940.0,2
4305,558,4108.0,4669.0,3
4307,321,838.0,7939.0,2
4308,559,4128.0,4649.0,3
4310,109,135.0,8642.0,1
4318,323,844.0,7933.0,2
4321,109,131.0,8646.0,1
4322,321,842.0,7935.0,2
4323,328,875.0,7902.0,2
4329,554,4064.0,4713.0,3
4332,324,843.0,7934.0,2
4340,107,136.0,8641.0,1
4342,330,892.0,7885.0,2
4344,415,6659.0,2118.0,3
4351,328,865.0,7912.0,2
4355,112,130.0,8647.0,1
4357,557,4107.0,4670.0,3
4359,555,4052.0,4725.0,3
4362,556,4078.0,4699.0,3
4363,107,134.0,8643.0,1
4364,318,826.0,7951.0,2
4368,110,136.0,8641.0,1
4369,324,854.0,7923.0,2
4372,108,132.0,8645.0,1
4375,110,135.0,8642.0,1
4378,426,7355.0,1422.0,3
4384,108,134.0,8643.0,1
4385,559,4120.0,4657.0,3
4392,331,886.0,7891.0,2
4394,320,840.0,7937.0,2
4397,329,870.0,7907.0,2
4398,558,4106.0,4671.0,3
4403,556,4092.0,4685.0,3
4414,559,4136.0,4641.0,3
4416,319,843.0,7934.0,2
4422,302,1125.0,7652.0,2
4424,109,135.0,8642.0,1
4426,109,135.0,8642.0,1
4427,556,4065.0,4712.0,3
4429,554,4069.0,4708.0,3
4432,319,830.0,7947.0,2
4433,323,850.0,7927.0,2
4445,108,135.0,8642.0,1
4447,556,4070.0,4707.0,3
4449,555,4032.0,4745.0,3
4451,554,4075.0,4702.0,3
4453,320,836.0,7941.0,2
4454,557,4097.0,4680.0,3
4457,109,137.0,8640.0,1
4461,556,4062.0,4715.0,3
4462,108,129.0,8648.0,1
4464,556,4088.0,4689.0,3
4466,109,137.0,8640.0,1
4467,555,4079.0,4698.0,3
4472,110,134.0,8643.0,1
4474,557,4101.0,4676.0,3
4481,555,4076.0,4701.0,3
4482,109,137.0,8640.0,1
4483,326,853.0,7924.0,2
4488,323,851.0,7926.0,2
4491,107,134.0,8643.0,1
4493,323,848.0,7929.0,2
